Date,Country,Provider,Share,Source,Notes
2007-09-01,US,AOL,2.25,NetApplications,
2007-09-01,US,All the Web,0.02,NetApplications,
2007-09-01,US,AltaVista,0.15,NetApplications,
2007-09-01,US,Ask,1.27,NetApplications,
2007-09-01,US,Excite,0.07,NetApplications,
2007-09-01,US,Google,76.96,NetApplications,
2007-09-01,US,Lycos,0.03,NetApplications,
2007-09-01,US,MSN,6,NetApplications,
2007-09-01,US,Yahoo,12.32,NetApplications,
2007-10-01,,AOL,2.1,NetApplications,
2007-10-01,,All the Web,0.02,NetApplications,
2007-10-01,,AltaVista,0.13,NetApplications,
2007-10-01,,Ask,1.36,NetApplications,
2007-10-01,,Excite,0.07,NetApplications,
2007-10-01,,Google,78.07,NetApplications,
2007-10-01,,Lycos,0.02,NetApplications,
2007-10-01,,MSN,5.89,NetApplications,
2007-10-01,,Yahoo,11.42,NetApplications,
2007-11-01,,AOL,2.09,NetApplications,
2007-11-01,,All the Web,0.02,NetApplications,
2007-11-01,,AltaVista,0.14,NetApplications,
2007-11-01,,Ask,1.53,NetApplications,
2007-11-01,,Excite,0.07,NetApplications,
2007-11-01,,Google,76.51,NetApplications,
2007-11-01,,Lycos,0.02,NetApplications,
2007-11-01,,MSN,6.03,NetApplications,
2007-11-01,,Yahoo,12.64,NetApplications,
2007-12-01,,AOL,2.12,NetApplications,
2007-12-01,,All the Web,0.02,NetApplications,
2007-12-01,,AltaVista,0.13,NetApplications,
2007-12-01,,Ask,1.38,NetApplications,
2007-12-01,,Excite,0.07,NetApplications,
2007-12-01,,Google,77.04,NetApplications,
2007-12-01,,Lycos,0.02,NetApplications,
2007-12-01,,MSN,5.9,NetApplications,
2007-12-01,,Yahoo,12.46,NetApplications,
2008-01-01,,AOL,2.13,NetApplications,
2008-01-01,,All the Web,0.02,NetApplications,
2008-01-01,,AltaVista,0.13,NetApplications,
2008-01-01,,Ask,1.42,NetApplications,
2008-01-01,,Excite,0.07,NetApplications,
2008-01-01,,Google,77.11,NetApplications,
2008-01-01,,Lycos,0.02,NetApplications,
2008-01-01,,MSN,6.02,NetApplications,
2008-01-01,,Yahoo,12.23,NetApplications,
2008-02-01,,AOL,2.11,NetApplications,
2008-02-01,,All the Web,0.02,NetApplications,
2008-02-01,,AltaVista,0.12,NetApplications,
2008-02-01,,Ask,1.3,NetApplications,
2008-02-01,,Excite,0.06,NetApplications,
2008-02-01,,Google,77.27,NetApplications,
2008-02-01,,Lycos,0.01,NetApplications,
2008-02-01,,MSN,6,NetApplications,
2008-02-01,,Yahoo,12.23,NetApplications,
2008-03-01,,AOL,2.11,NetApplications,
2008-03-01,,All the Web,0.02,NetApplications,
2008-03-01,,AltaVista,0.12,NetApplications,
2008-03-01,,Ask,1.3,NetApplications,
2008-03-01,,Excite,0.06,NetApplications,
2008-03-01,,Google,77.27,NetApplications,
2008-03-01,,Lycos,0.01,NetApplications,
2008-03-01,,MSN,6,NetApplications,
2008-03-01,,Yahoo,12.23,NetApplications,
2008-04-01,,AOL,2.11,NetApplications,
2008-04-01,,All the Web,0.02,NetApplications,
2008-04-01,,AltaVista,0.12,NetApplications,
2008-04-01,,Ask,1.3,NetApplications,
2008-04-01,,Excite,0.06,NetApplications,
2008-04-01,,Google,77.27,NetApplications,
2008-04-01,,Lycos,0.01,NetApplications,
2008-04-01,,MSN,6,NetApplications,
2008-04-01,,Yahoo,12.23,NetApplications,
2008-05-01,,AOL,2.4,NetApplications,
2008-05-01,,All the Web,0.01,NetApplications,
2008-05-01,,AltaVista,0.11,NetApplications,
2008-05-01,,Ask,1.37,NetApplications,
2008-05-01,,Excite,0.07,NetApplications,
2008-05-01,,Google,77.23,NetApplications,
2008-05-01,,Lycos,0.01,NetApplications,
2008-05-01,,MSN,5.75,NetApplications,
2008-05-01,,Yahoo,12.24,NetApplications,
